API Well Number,Year,Operator,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type
31013179630000,1986,Berea Oil & Gas Corp.,0.0,25182.0,0.0,12.0,Not Listed
31013179630000,1987,Berea Oil & Gas Corp.,0.0,12326.0,30.0,12.0,Not Listed
31013179630000,1988,Berea Oil & Gas Corp.,0.0,9479.0,25.0,12.0,GD
31013179630000,1989,Berea Oil & Gas Corp.,0.0,5165.0,5.0,12.0,GD
31013179630000,1990,Berea Oil & Gas Corp.,0.0,4980.0,55.0,12.0,GD
31013179630000,1991,Berea Oil & Gas Corp.,0.0,2813.0,0.0,12.0,GD
31013179630000,1992,"Oil, Gas & Land Services, Inc.",0.0,3221.0,0.0,11.0,GD
31013179630000,1993,"Oil, Gas & Land Services, Inc.",0.0,2440.0,0.0,12.0,GD
31013179630000,1994,"Oil, Gas & Land Services, Inc.",0.0,2165.0,0.0,11.0,GD
31013179630000,1995,"Oil, Gas & Land Services, Inc.",0.0,2468.0,0.0,9.0,GD
31013179630000,1996,"Oil, Gas & Land Services, Inc.",0.0,3171.0,50.0,12.0,GD
31013179630000,1997,"Oil, Gas & Land Services, Inc.",0.0,3002.0,50.0,9.0,GD
31013179630000,1998,"REI-NY, LLC",0.0,3717.0,50.0,12.0,GD
31013179630000,1999,"REI-NY, LLC",0.0,8020.0,0.0,12.0,GD
31013179630000,2001,"REI-NY, LLC",0.0,610.0,0.0,12.0,Gas Development
31013179630000,2002,"Stedman Energy, Inc.",0.0,1750.0,0.0,2.0,Gas Development
31013179630000,2003,"Stedman Energy, Inc.",,7508.0,70.0,12.0,Gas Development
31013179630000,2004,"Stedman Energy, Inc.",,4535.0,50.0,12.0,Gas Development
31013179630000,2005,"Stedman Energy, Inc.",,3839.0,50.0,12.0,Gas Development
31013179630000,2006,"Stedman Energy, Inc.",,2993.0,150.0,12.0,Gas Development
31013179630000,2007,"Stedman Energy, Inc.",,2946.0,50.0,12.0,Gas Development
31013179630000,2008,"Stedman Energy, Inc.",,2290.0,50.0,12.0,Gas Development
31013179630000,2009,"Stedman Energy, Inc.",0.0,1558.0,0.0,7.0,Gas Development
31013179630000,2010,"Stedman Energy, Inc.",0.0,2566.0,0.0,12.0,Gas Development
31013179630000,2011,"Stedman Energy, Inc.",0.0,2187.0,0.0,12.0,Gas Development
31013179630000,2012,"Stedman Energy, Inc.",0.0,1431.0,0.0,12.0,Gas Development
31013179630000,2013,"Stedman Energy, Inc.",0.0,1136.0,0.0,12.0,Gas Development
31013179630000,2014,"Stedman Energy, Inc.",0.0,1621.0,0.0,10.0,Gas Development
31013179630000,2015,"Stedman Energy, Inc.",0.0,1246.0,0.0,12.0,Gas Development
31013179630000,2016,"Stedman Energy, Inc.",0.0,415.0,0.0,6.0,Gas Development
31013179630000,2017,"Stedman Energy, Inc.",0.0,1181.0,0.0,12.0,Gas Development
31013179630000,2018,"Stedman Energy, Inc.",0.0,174.0,0.0,4.0,Gas Development
31013179630000,2019,"Stedman Energy, Inc.",0.0,176.0,0.0,1.0,Gas Development
31013179660000,1986,"Warner Bros Well Drilling, Inc",0.0,227.0,0.0,0.0,Not Listed
31013179660000,1987,"Warner Bros Well Drilling, Inc",0.0,300.0,0.0,12.0,Not Listed
31013179660000,1988,C.J. Gas,0.0,234.0,0.0,12.0,GD
31013179660000,1989,C.J. Gas,0.0,200.0,0.0,12.0,GD
31013179660000,1990,C.J. Gas,0.0,200.0,0.0,12.0,GD
31013179660000,1991,C.J. Gas,0.0,200.0,0.0,12.0,GD
31013179660000,1992,L. W. Resources,0.0,200.0,0.0,12.0,GD
31013179660000,1993,L. W. Resources,0.0,200.0,0.0,12.0,GD
31013179660000,1994,L. W. Resources,0.0,200.0,0.0,12.0,GD
31013179660000,1995,L. W. Resources,0.0,200.0,0.0,12.0,GD
31013179660000,1996,L. W. Resources,0.0,200.0,0.0,12.0,GD
31013179660000,1997,L. W. Resources,0.0,200.0,0.0,12.0,GD
31013179660000,1998,L. W. Resources,0.0,200.0,0.0,12.0,GD
31013179660000,1999,L. W. Resources,0.0,200.0,0.0,12.0,GD
31013179660000,2000,L. W. Resources,,200.0,,12.0,Gas Development
31013179660000,2001,L. W. Resources,0.0,200.0,0.0,12.0,Gas Development
31013179660000,2002,L. W. Resources,0.0,200.0,0.0,12.0,Gas Development
31013179660000,2003,L. W. Resources,,200.0,,0.0,Gas Development
31013179660000,2004,"Chautauqua Energy, Inc.",0.0,0.0,0.0,0.0,Gas Development
31013179660000,2005,"Chautauqua Energy, Inc.",0.0,0.0,0.0,0.0,Gas Development
31013179660000,2006,"Chautauqua Energy, Inc.",0.0,0.0,0.0,0.0,Gas Development
31013179660000,2007,"Chautauqua Energy, Inc.",0.0,0.0,0.0,0.0,Gas Development
31013179660000,2008,"Chautauqua Energy, Inc.",0.0,0.0,0.0,0.0,Gas Development
31013179660000,2009,"Chautauqua Energy, Inc.",0.0,0.0,0.0,0.0,Gas Development
31013179660000,2010,"Chautauqua Energy, Inc.",0.0,200.0,0.0,1.0,Gas Development
31013179660000,2011,"Chautauqua Energy, Inc.",,200.0,0.0,1.0,Gas Development
31013179660000,2012,"Chautauqua Energy, Inc.",0.0,200.0,0.0,12.0,Gas Development
31013179660000,2013,"Chautauqua Energy, Inc.",0.0,0.0,0.0,0.0,Gas Development
31013179660000,2014,"Chautauqua Energy, Inc.",0.0,0.0,0.0,0.0,Gas Development
31013179660000,2015,"Chautauqua Energy, Inc.",0.0,0.0,0.0,0.0,Gas Development
31013179660000,2016,"Chautauqua Energy, Inc.",0.0,0.0,0.0,0.0,Gas Development
31013179660000,2017,"Chautauqua Energy, Inc.",0.0,0.0,0.0,0.0,Gas Development
31013179660000,2018,"Chautauqua Energy, Inc.",0.0,0.0,0.0,0.0,Gas Development
31013179660000,2019,"Chautauqua Energy, Inc.",0.0,0.0,0.0,0.0,Gas Development
